iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population
ISR,Asia,Israel,2022-11-22,4705376.0,0.0,11836.0,0.0,,,,,,18478323.0,6721724.0,6157846.0,5598753.0,7041.0,14.81,402.61,33132.32,2.99,82.97,0.92,9449000
QAT,Asia,Qatar,2020-08-21,114809.0,0.0,192.0,0.0,,,,,,,,,,,77.78,227.32,116935.6,1.2,80.23,0.85,2695131
TJK,Asia,Tajikistan,2022-06-15,17786.0,0.0,125.0,0.0,,,,,,,,,,,8.33,64.28,2896.91,4.8,71.1,0.67,9952789
IDN,Asia,Indonesia,2023-11-23,6813429.0,0.0,161918.0,0.0,,,,,,448199860.0,204419394.0,174965137.0,69356250.0,,,145.72,11188.74,1.04,71.72,0.72,275501344
CZE,Europe,Czechia,2020-03-06,0.0,0.0,0.0,0.0,,,,,,,,,,,19.44,137.18,32605.91,6.63,79.38,0.9,10493990
MYT,Africa,Mayotte,2022-06-17,37751.0,0.0,187.0,0.0,,,,,,,,,,,,,,,79.46,,326113
TWN,Asia,Taiwan,2021-11-01,,,,,4015333.0,23559.0,0.0,2942.8,people tested,25182013.0,17286000.0,7896013.0,,311863.0,41.67,,,,80.46,,23893396
DOM,North America,Dominican Republic,2021-01-25,202507.0,0.0,2513.0,0.0,1012644.0,4567.0,0.22,4.5,samples tested,,,,,,67.59,222.87,14600.86,1.6,74.08,0.76,11228821
GRD,North America,Grenada,2022-11-22,19616.0,0.0,237.0,0.0,,,,,,,,,,,,317.13,13593.88,3.7,72.4,0.78,125459
LSO,Africa,Lesotho,2024-06-10,36138.0,0.0,709.0,0.0,,,,,,,,,,,,73.56,2851.15,,54.33,0.53,2305826
ZAF,Africa,South Africa,2021-11-10,2923751.0,0.0,89319.0,0.0,18802232.0,33567.0,0.01,103.8,people tested,23540547.0,15995893.0,13124865.0,,138263.0,48.15,46.75,12294.88,2.32,64.13,0.71,59893884
CHE,Europe,Switzerland,2021-07-18,706321.0,3633.0,10389.0,3.0,8394144.0,12586.0,0.02,43.5,tests performed,8543266.0,4593050.0,,235.0,7879.0,44.44,214.24,57410.17,4.53,83.78,0.96,8740471
SPM,North America,Saint Pierre and Miquelon,2022-09-18,3180.0,14.0,1.0,0.0,,,,,,,,,,,,,,,81.07,,5885
MCO,Europe,Monaco,2023-07-10,16840.0,0.0,67.0,0.0,,,,,,,,,,,,19347.5,,13.8,86.75,,36491
GIB,Europe,Gibraltar,2020-12-22,1176.0,0.0,6.0,0.0,,,,,,,,,,,,3457.1,,,79.93,,32677
PAN,North America,Panama,2020-09-30,109431.0,0.0,2311.0,0.0,478695.0,5212.0,0.13,7.5,tests performed,,,,,,87.04,55.13,22267.04,2.3,78.51,0.82,4408582
ATG,North America,Antigua and Barbuda,2022-03-16,7466.0,0.0,135.0,0.0,,,,,,,,,,,,231.84,21490.94,3.8,77.02,0.78,93772
TUR,Asia,Turkey,2024-06-15,17004717.0,0.0,101419.0,0.0,,,,,,,,,,,,104.91,25129.34,2.81,77.69,0.82,85341248
