iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population
POL,Europe,Poland,2022-03-14,5818063.0,0.0,113444.0,0.0,,,0.16,6.1,tests performed,,,,,,22.52,124.03,27216.44,6.62,78.73,0.88,39857144
ALB,Europe,Albania,2020-05-23,916.0,0.0,31.0,0.0,13014.0,200.0,0.04,24.5,tests performed,,,,,,83.33,104.87,11803.43,2.89,78.57,0.8,2842318
BMU,North America,Bermuda,2022-01-05,6420.0,0.0,110.0,0.0,,,,,,114241.0,46400.0,45487.0,22354.0,,41.32,1308.82,50669.32,,82.59,,64207
BRA,South America,Brazil,2024-05-04,37511921.0,0.0,702116.0,0.0,,,,,,,,,,,,25.04,14103.45,2.2,75.88,0.76,215313504
OWID_NIR,Europe,Northern Ireland,2020-04-03,,,,,,,,,,,,,,,,,,,,,1896000
SHN,Africa,Saint Helena,2020-01-09,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,80.56,,5401
NRU,Oceania,Nauru,2024-06-10,5393.0,0.0,1.0,0.0,,,,,,,,,,,,682.45,12895.64,5.0,59.96,,12691
AIA,North America,Anguilla,2020-08-31,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,81.88,,15877
EGY,Africa,Egypt,2021-05-21,244520.0,0.0,14269.0,0.0,,,,,,,,,,,59.26,98.0,10550.21,1.6,71.99,0.71,110990096
NAM,Africa,Namibia,2023-01-05,170352.0,0.0,4082.0,0.0,,,,,,,,,,,,3.08,9541.81,,63.71,0.65,2567024
DJI,Africa,Djibouti,2021-11-23,13501.0,0.0,186.0,0.0,,,,,,,,,,,49.07,41.28,2705.41,1.4,67.11,0.52,1120851
NCL,Oceania,New Caledonia,2024-04-22,80064.0,0.0,314.0,0.0,,,,,,,,,,,,15.34,,,77.55,,289959
GHA,Africa,Ghana,2022-11-25,170996.0,0.0,1461.0,0.0,,,,,,,,,,,33.56,126.72,4227.63,0.9,64.07,0.61,33475870
ECU,South America,Ecuador,2024-07-29,1077288.0,0.0,36050.0,0.0,,,,,,,,,,,,66.94,10581.94,1.5,77.01,0.76,18001002
BES,North America,Bonaire Sint Eustatius and Saba,2021-10-25,2373.0,0.0,19.0,0.0,,,,,,,,,,,,,,,77.79,,27052
GHA,Africa,Ghana,2020-06-18,11964.0,0.0,0.0,0.0,267286.0,3561.0,0.13,7.7,tests performed,,,,,,62.04,126.72,4227.63,0.9,64.07,0.61,33475870
LAO,Asia,Laos,2020-08-28,22.0,0.0,0.0,0.0,,,,,,,,,,,36.11,29.72,6397.36,1.5,67.92,0.61,7529477
OWID_KOS,Europe,Kosovo,2024-01-02,274279.0,0.0,3212.0,0.0,,,,,,,,,,,,168.16,9795.83,,,,1782115
GLP,North America,Guadeloupe,2024-01-21,203235.0,0.0,1021.0,0.0,,,,,,,,,,,,,,,82.14,,395762
GMB,Africa,Gambia,2022-09-16,12415.0,0.0,372.0,0.0,,,,,,,,,,,13.89,207.57,1561.77,1.1,62.05,0.5,2705995
SAU,Asia,Saudi Arabia,2021-05-03,418411.0,0.0,6968.0,0.0,17166028.0,68997.0,0.02,64.2,tests performed,9772409.0,,,,116890.0,53.7,15.32,49045.41,2.7,75.13,0.85,36408824
GMB,Africa,Gambia,2020-06-22,37.0,0.0,0.0,0.0,,,,,,,,,,,74.07,207.57,1561.77,1.1,62.05,0.5,2705995
ABW,North America,Aruba,2024-02-25,44224.0,0.0,292.0,0.0,,,,,,,,,,,,584.8,35973.78,,76.29,,106459
VGB,North America,British Virgin Islands,2021-06-30,298.0,0.0,1.0,0.0,,,,,,,,,,,,207.97,,,79.07,,31332
CYP,Europe,Cyprus,2022-11-26,610023.0,0.0,1218.0,0.0,,,,,,,,,,,11.11,127.66,32415.13,3.4,80.98,0.89,896007
VAT,Europe,Vatican,2022-07-08,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,75.12,,808
BTN,Asia,Bhutan,2022-02-01,4685.0,0.0,4.0,0.0,1460552.0,13437.0,0.02,59.6,samples tested,,,,,,75.46,21.19,8708.6,1.7,71.78,0.65,782457
KGZ,Asia,Kyrgyzstan,2023-11-25,88927.0,0.0,1024.0,0.0,,,,,,,,,,,,32.33,3393.47,4.5,71.45,0.7,6630621
VNM,Asia,Vietnam,2020-04-23,268.0,0.0,0.0,0.0,,,,,,,,,,,79.63,308.13,6171.88,2.6,75.4,0.7,98186856
NER,Africa,Niger,2020-04-13,529.0,0.0,58.0,0.0,,,,,,,,,,,61.11,16.95,926.0,0.3,62.42,0.39,26207982
KEN,Africa,Kenya,2022-08-21,338042.0,104.0,5673.0,0.0,,,,,,20920745.0,12641679.0,9354382.0,1072585.0,,32.37,87.32,2993.03,1.4,66.7,0.6,54027484
RWA,Africa,Rwanda,2021-07-02,35018.0,0.0,404.0,0.0,1650629.0,9047.0,0.09,11.6,samples tested,,,,,,54.63,494.87,1854.21,,69.02,0.54,13776702
MLT,Europe,Malta,2020-07-16,677.0,0.0,9.0,0.0,,,,,,,,,,,31.48,1454.04,36513.32,4.49,82.53,0.9,533293
BHR,Asia,Bahrain,2020-01-20,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1935.91,43290.7,2.0,77.29,0.85,1472237
GIN,Africa,Guinea,2021-05-22,22746.0,0.0,151.0,0.0,,,,,,,,,,,64.81,51.76,1998.93,0.3,61.6,0.48,13859349
BRA,South America,Brazil,2021-12-09,22129409.0,0.0,615400.0,0.0,,,,,tests performed,318799260.0,164914808.0,138924356.0,19859727.0,1325043.0,50.05,25.04,14103.45,2.2,75.88,0.76,215313504
FLK,South America,Falkland Islands,2023-05-04,1923.0,0.0,0.0,0.0,,,,,,,,,,,,,,,81.44,,3801
IRL,Europe,Ireland,2023-01-11,1696428.0,0.0,8561.0,0.0,,,,,,11113290.0,4108219.0,4062745.0,3183627.0,568.0,,69.87,67335.29,2.96,82.3,0.96,5023108
GEO,Asia,Georgia,2020-01-24,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,65.03,9745.08,2.6,73.77,0.81,3744385
LAO,Asia,Laos,2023-11-05,218891.0,0.0,671.0,0.0,,,,,,,,,,,,29.72,6397.36,1.5,67.92,0.61,7529477
NPL,Asia,Nepal,2024-06-26,1003450.0,0.0,12031.0,0.0,,,,,,,,,,,,204.43,2442.8,0.3,70.78,0.6,30547586
GUM,Oceania,Guam,2022-02-22,36218.0,0.0,316.0,0.0,265842.0,240.0,0.07,15.2,tests performed,,,,,,,304.13,,,80.07,,171783
VGB,North America,British Virgin Islands,2021-05-03,194.0,0.0,1.0,0.0,,,,,,,,,,,,207.97,,,79.07,,31332
MYT,Africa,Mayotte,2021-01-25,7544.0,0.0,59.0,0.0,,,,,,,,,,,,,,,79.46,,326113
KAZ,Asia,Kazakhstan,2020-06-12,12694.0,0.0,54.0,0.0,1078539.0,28441.0,0.01,104.3,tests performed,,,,,,81.02,6.68,24055.59,6.7,73.6,0.82,19397998
CHN,Asia,China,2022-09-29,7404545.0,0.0,26244.0,0.0,,,,,,3436773000.0,,,,143000.0,79.17,147.67,15308.71,4.34,76.91,0.76,1425887360
IRN,Asia,Iran,2024-06-08,7627863.0,0.0,146837.0,0.0,,,,,,,,,,,,49.83,19082.62,1.5,76.68,0.78,88550568
GIB,Europe,Gibraltar,2023-07-23,20550.0,0.0,113.0,0.0,,,,,,,,,,,,3457.1,,,79.93,,32677
NER,Africa,Niger,2020-08-30,1175.0,3.0,93.0,0.0,,,,,,,,,,,17.59,16.95,926.0,0.3,62.42,0.39,26207982
MKD,Europe,North Macedonia,2021-10-27,199906.0,0.0,7572.0,0.0,,,0.12,8.4,tests performed,,,,,,,82.6,13111.21,4.28,75.8,0.77,2093606
MAR,Africa,Morocco,2023-04-13,1272733.0,0.0,16296.0,0.0,,,,,,,,,,,,80.08,7485.01,1.1,76.68,0.69,37457976
SVK,Europe,Slovakia,2023-04-29,1866308.0,0.0,21164.0,0.0,,,,,,,,,,,,113.13,30155.15,5.82,77.54,0.86,5643455
TKL,Oceania,Tokelau,2022-02-19,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,81.86,,1893
SYR,Asia,Syria,2024-05-15,57423.0,0.0,3163.0,0.0,,,,,,,,,,,,,,1.5,72.7,0.57,22125242
NOR,Europe,Norway,2024-05-29,1507899.0,0.0,5732.0,0.0,,,,,,,,,,,,14.46,64800.06,3.6,82.4,0.96,5434324
DZA,Africa,Algeria,2022-06-23,265971.0,0.0,6875.0,0.0,,,,,,,,,,,33.44,17.35,13913.84,1.9,76.88,0.75,44903228
GGY,Europe,Guernsey,2023-03-14,35058.0,0.0,66.0,0.0,,,,,,,,,,,,,,,,,63329
JPN,Asia,Japan,2020-01-27,3.0,0.0,0.0,0.0,,,,,,,,,,,2.78,347.78,39002.22,13.05,84.63,0.92,123951696
KNA,North America,Saint Kitts and Nevis,2021-11-03,2668.0,0.0,23.0,0.0,52757.0,,0.03,33.7,people tested,,,,,,,212.86,24654.38,2.3,76.23,0.78,47681
DJI,Africa,Djibouti,2020-02-06,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,41.28,2705.41,1.4,67.11,0.52,1120851
SYR,Asia,Syria,2022-03-12,54963.0,0.0,3092.0,0.0,158382.0,,0.33,3.0,tests performed,,,,,,26.85,,,1.5,72.7,0.57,22125242
KOR,Asia,South Korea,2022-03-31,12002874.0,0.0,15186.0,0.0,87274658.0,413213.0,0.65,1.5,people tested,121046205.0,44621322.0,44166813.0,33050614.0,45718.0,40.74,527.97,35938.37,12.27,83.03,0.92,51815808
CZE,Europe,Czechia,2022-06-27,4211320.0,0.0,40400.0,0.0,,,,,,17673692.0,6966219.0,6880937.0,4237142.0,1012.0,14.81,137.18,32605.91,6.63,79.38,0.9,10493990
ARE,Asia,United Arab Emirates,2022-02-28,878746.0,0.0,2301.0,0.0,137716535.0,417532.0,0.0,669.3,tests performed,24119061.0,,9485024.0,4743501.0,13839.0,29.59,112.44,67293.48,1.2,77.97,0.89,9441138
MNP,Oceania,Northern Mariana Islands,2023-05-14,13896.0,24.0,41.0,0.0,,,,,,,,,,,,119.88,,,76.74,,49574
LBN,Asia,Lebanon,2020-10-31,69990.0,0.0,562.0,0.0,,,,,,,,,,,68.52,594.56,13367.56,2.9,78.93,0.74,5489744
VUT,Oceania,Vanuatu,2024-03-01,12019.0,0.0,14.0,0.0,,,,,,,,,,,,22.66,2921.91,,70.47,0.61,326744
QAT,Asia,Qatar,2022-10-14,456819.0,0.0,682.0,0.0,,,,,,,,,,,32.14,227.32,116935.6,1.2,80.23,0.85,2695131
IRQ,Asia,Iraq,2021-04-01,827157.0,0.0,14177.0,0.0,,,0.15,6.8,tests performed,,,,,,73.15,88.12,15663.99,1.4,70.6,0.67,44496124
VGB,North America,British Virgin Islands,2022-10-01,7305.0,0.0,64.0,0.0,,,,,,,,,,,,207.97,,,79.07,,31332
BGD,Asia,Bangladesh,2020-05-29,33610.0,0.0,480.0,0.0,284899.0,11301.0,0.2,5.0,tests performed,,,,,,93.52,1265.04,3523.98,0.8,72.59,0.63,171186368
IRN,Asia,Iran,2021-12-02,6105101.0,0.0,129549.0,0.0,38983629.0,110473.0,0.04,27.4,tests performed,,,,,,61.57,49.83,19082.62,1.5,76.68,0.78,88550568
JPN,Asia,Japan,2024-04-11,33803572.0,0.0,74694.0,0.0,,,,,,,,,,,,347.78,39002.22,13.05,84.63,0.92,123951696
LTU,Europe,Lithuania,2020-05-16,1399.0,0.0,36.0,0.0,216736.0,6232.0,0.0,250.0,tests performed,,,,,,75.0,45.14,29524.26,6.56,75.93,0.88,2750058
PNG,Oceania,Papua New Guinea,2020-08-30,459.0,98.0,5.0,1.0,,,,,,,,,,,47.22,18.22,3823.19,,64.5,0.56,10142625
CHL,South America,Chile,2023-10-22,5301698.0,3054.0,61780.0,52.0,,,,,,,,,,,,24.28,22767.04,2.11,80.18,0.85,19603736
MNG,Asia,Mongolia,2021-01-31,1814.0,171.0,2.0,0.0,1036174.0,11202.0,0.0,563.1,samples tested,,,,,,73.61,1.98,11840.85,7.0,69.87,0.74,3398373
OWID_WLS,Europe,Wales,2020-08-08,,,,,,,,,,,,,,,,,,,,,3170000
CAF,Africa,Central African Republic,2022-06-07,14371.0,0.0,113.0,0.0,,,0.0,,tests performed,,,,,,18.52,7.48,661.24,1.0,53.28,0.4,5579148
MNG,Asia,Mongolia,2023-10-08,1011084.0,24.0,2136.0,0.0,,,,,,,,,,,,1.98,11840.85,7.0,69.87,0.74,3398373
COM,Africa,Comoros,2024-01-05,9109.0,0.0,160.0,0.0,,,,,,,,,,,,437.35,1413.89,2.2,64.32,0.55,836783
NLD,Europe,Netherlands,2020-05-01,38460.0,0.0,4948.0,0.0,,,,,,,,,,,78.7,508.54,48472.54,3.32,82.28,0.94,17564020
WSM,Oceania,Samoa,2023-02-21,16415.0,0.0,29.0,0.0,,,,,,,,,,,,69.41,6021.56,,73.32,0.72,222390
AIA,North America,Anguilla,2021-08-20,127.0,0.0,0.0,0.0,,,0.02,43.8,tests performed,18458.0,9493.0,8965.0,,,,,,,81.88,,15877
SYC,Africa,Seychelles,2024-03-20,51656.0,0.0,172.0,0.0,,,,,,,,,,,,208.35,26382.29,3.6,73.4,0.8,107135
MMR,Asia,Myanmar,2020-03-12,0.0,0.0,0.0,0.0,,,,,,,,,,,13.89,81.72,5591.6,0.9,67.13,0.58,54179312
NOR,Europe,Norway,2022-02-01,767568.0,0.0,1532.0,0.0,10177065.0,37645.0,0.62,1.6,people tested,11060599.0,4321392.0,4000111.0,2739096.0,21832.0,25.0,14.46,64800.06,3.6,82.4,0.96,5434324
UGA,Africa,Uganda,2021-08-27,118777.0,0.0,2960.0,0.0,1573499.0,4152.0,0.95,1.1,tests performed,,,,,,75.93,213.76,1697.71,0.5,63.37,0.54,47249588
MAR,Africa,Morocco,2021-10-07,934828.0,0.0,14315.0,0.0,8867027.0,13124.0,0.05,20.0,people tested,,,,,,68.52,80.08,7485.01,1.1,76.68,0.69,37457976
ATG,North America,Antigua and Barbuda,2024-06-04,9106.0,0.0,146.0,0.0,,,,,,,,,,,,231.84,21490.94,3.8,77.02,0.78,93772
GEO,Asia,Georgia,2023-10-23,1855289.0,0.0,17132.0,0.0,,,,,,,,,,,,65.03,9745.08,2.6,73.77,0.81,3744385
GRL,North America,Greenland,2024-03-19,11971.0,0.0,21.0,0.0,,,,,,,,,,,,0.14,,,71.7,,56494
KWT,Asia,Kuwait,2021-10-21,412297.0,0.0,2456.0,0.0,4654108.0,18043.0,0.0,560.4,tests performed,,,,,,46.55,232.13,65530.54,2.0,75.49,0.81,4268886
KEN,Africa,Kenya,2023-04-03,342983.0,0.0,5688.0,0.0,,,,,,,,,,,,87.32,2993.03,1.4,66.7,0.6,54027484
CAN,North America,Canada,2024-01-30,4788998.0,0.0,54719.0,0.0,,,,,,102317422.0,,,34422041.0,2259.0,,4.04,44017.59,2.5,82.43,0.93,38454328
OWID_WLS,Europe,Wales,2021-01-25,,,,,,,,,,290147.0,289566.0,581.0,,18771.0,,,,,,,3170000
BGD,Asia,Bangladesh,2022-12-26,2037024.0,0.0,29439.0,0.0,,,,,,,,,,,13.89,1265.04,3523.98,0.8,72.59,0.63,171186368
OWID_WLS,Europe,Wales,2022-07-11,,,,,,,,,,7390581.0,2577936.0,2434084.0,2057686.0,748.0,,,,,,,3170000
FLK,South America,Falkland Islands,2021-09-25,64.0,0.0,0.0,0.0,,,,,,,,,,,,,,,81.44,,3801
BRA,South America,Brazil,2024-05-24,37511921.0,0.0,702116.0,0.0,,,,,,,,,,,,25.04,14103.45,2.2,75.88,0.76,215313504
RWA,Africa,Rwanda,2022-10-21,132517.0,0.0,1467.0,0.0,,,,,,,,,,,26.67,494.87,1854.21,,69.02,0.54,13776702
ASM,Oceania,American Samoa,2020-03-15,0.0,0.0,0.0,0.0,,,,,,,,,,,,278.2,,,73.74,,44295
PSE,Asia,Palestine,2024-07-10,703228.0,0.0,5708.0,0.0,,,,,,,,,,,,778.2,4449.9,,74.05,0.71,5250076
VCT,North America,Saint Vincent and the Grenadines,2023-04-15,9601.0,0.0,124.0,0.0,,,,,,,,,,,,281.79,10727.15,2.6,72.53,0.74,103959
VUT,Oceania,Vanuatu,2021-12-12,6.0,1.0,0.0,0.0,,,,,,,,,,,19.44,22.66,2921.91,,70.47,0.61,326744
MAR,Africa,Morocco,2020-02-04,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,80.08,7485.01,1.1,76.68,0.69,37457976
TTO,North America,Trinidad and Tobago,2022-03-03,126934.0,0.0,3617.0,0.0,635761.0,557.0,0.28,3.6,people tested,1527056.0,742030.0,703563.0,136808.0,650.0,51.18,266.89,28763.07,3.0,73.51,0.8,1531043
CRI,North America,Costa Rica,2021-11-09,562316.0,0.0,7134.0,0.0,2059649.0,4387.0,0.06,17.2,people tested,,,,,,51.49,96.08,15525.0,1.13,80.28,0.81,5180836
TCA,North America,Turks and Caicos Islands,2023-07-03,6612.0,0.0,39.0,0.0,,,,,,,,,,,,37.31,,,80.22,,45726
LVA,Europe,Latvia,2022-09-24,913480.0,0.0,6665.0,0.0,,,,,,,,,,,11.11,31.21,25063.85,5.57,75.29,0.87,1850654
SWZ,Africa,Eswatini,2023-05-14,74728.0,30.0,1425.0,0.0,,,,,,,,,,,,79.49,7738.98,2.1,60.19,0.61,1201680
MAR,Africa,Morocco,2024-06-03,1279115.0,0.0,16305.0,0.0,,,,,,,,,,,,80.08,7485.01,1.1,76.68,0.69,37457976
GUF,South America,French Guiana,2021-06-28,27286.0,0.0,142.0,0.0,,,,,,,,,,,,,,,79.95,,304568
MDG,Africa,Madagascar,2021-06-02,41266.0,0.0,835.0,0.0,204569.0,459.0,0.12,8.5,tests performed,,,,,,71.3,43.95,1416.44,0.2,67.04,0.53,29611718
MHL,Oceania,Marshall Islands,2020-03-29,0.0,0.0,0.0,0.0,,,,,,,,,,,,295.15,3819.2,2.7,73.7,0.7,41593
SVK,Europe,Slovakia,2022-04-08,1725487.0,0.0,19417.0,0.0,50765411.0,18169.0,0.23,4.3,tests performed,,,,,,14.81,113.13,30155.15,5.82,77.54,0.86,5643455
PAN,North America,Panama,2020-12-16,187779.0,0.0,3309.0,0.0,1096524.0,13981.0,0.18,5.4,tests performed,,,,,,62.04,55.13,22267.04,2.3,78.51,0.82,4408582
GNQ,Africa,Equatorial Guinea,2023-05-14,17130.0,0.0,183.0,0.0,,,,,,,,,,,,45.19,22604.87,2.1,58.74,0.59,1674916
PNG,Oceania,Papua New Guinea,2020-11-10,597.0,0.0,7.0,0.0,,,,,,,,,,,47.22,18.22,3823.19,,64.5,0.56,10142625
HND,North America,Honduras,2022-02-05,391874.0,0.0,10504.0,0.0,,,,,,,,,,,42.26,82.8,4541.8,0.7,75.27,0.63,10432858
SLV,North America,El Salvador,2024-01-16,201844.0,0.0,4230.0,0.0,,,,,,,,,,,,307.81,7292.46,1.3,73.32,0.67,6336393
LIE,Europe,Liechtenstein,2022-10-11,20162.0,0.0,86.0,0.0,,,,,,,,,,,11.11,237.01,,2.4,82.49,0.92,39355
KIR,Oceania,Kiribati,2021-06-19,0.0,0.0,0.0,0.0,,,,,,,,,,,22.22,143.7,1981.13,1.9,68.37,0.63,131237
SVN,Europe,Slovenia,2020-04-11,1021.0,0.0,33.0,0.0,34851.0,572.0,0.03,34.5,tests performed,,,,,,89.81,102.62,31400.84,4.5,81.32,0.92,2119843
USA,North America,United States,2022-09-14,94007678.0,0.0,1040463.0,0.0,,,,,,617356244.0,263503854.0,225720892.0,,576722.0,24.18,35.61,54225.45,2.77,78.86,0.93,338289856
PSE,Asia,Palestine,2022-03-25,654954.0,0.0,5641.0,0.0,,,,,tests performed,,,,,,22.22,778.2,4449.9,,74.05,0.71,5250076
BIH,Europe,Bosnia and Herzegovina,2020-07-12,6720.0,1470.0,219.0,26.0,,,0.19,5.3,tests performed,,,,,,56.48,68.5,11713.9,3.5,77.4,0.78,3233530
TCA,North America,Turks and Caicos Islands,2022-08-10,6328.0,0.0,36.0,0.0,,,,,,,,,,,,37.31,,,80.22,,45726
THA,Asia,Thailand,2021-09-03,1174091.0,0.0,11143.0,0.0,12503123.0,49598.0,0.32,3.1,tests performed,34292537.0,24542140.0,9152799.0,597598.0,865074.0,55.09,135.13,16277.67,2.1,77.15,0.78,71697024
WLF,Oceania,Wallis and Futuna,2022-10-13,761.0,0.0,7.0,0.0,,,,,,,,,,,,,,,79.94,,11596
BHR,Asia,Bahrain,2020-10-18,77571.0,2284.0,293.0,20.0,1607692.0,8143.0,0.03,30.1,units unclear,,,,,,60.19,1935.91,43290.7,2.0,77.29,0.85,1472237
CYM,North America,Cayman Islands,2023-11-10,31472.0,0.0,37.0,0.0,,,,,,,,,,,,256.5,49903.03,,83.92,,68722
IRQ,Asia,Iraq,2022-11-20,2462969.0,697.0,25362.0,1.0,,,,,,,,,,,34.53,88.12,15663.99,1.4,70.6,0.67,44496124
TCD,Africa,Chad,2023-08-01,7698.0,0.0,194.0,0.0,,,,,,,,,,,,11.83,1768.15,,54.24,0.4,17723312
OMN,Asia,Oman,2024-03-25,399449.0,0.0,4628.0,0.0,,,,,,,,,,,,14.98,37960.71,1.6,77.86,0.81,4576300
COL,South America,Colombia,2020-06-04,26688.0,0.0,853.0,0.0,,,,,tests performed,,,,,,87.04,44.22,13254.95,1.71,77.29,0.77,51874028
GAB,Africa,Gabon,2022-05-26,47622.0,0.0,304.0,0.0,,,0.04,24.0,tests performed,,,,,,11.11,7.86,16562.41,6.3,66.47,0.7,2388997
ZMB,Africa,Zambia,2021-11-26,210057.0,0.0,3667.0,0.0,2707704.0,3966.0,0.0,368.6,tests performed,,,,,,43.52,23.0,3689.25,2.0,63.89,0.58,20017670
LBY,Africa,Libya,2023-03-09,507174.0,0.0,6437.0,0.0,,,,,,,,,,,,3.62,17881.51,3.7,72.91,0.72,6812344
NRU,Oceania,Nauru,2022-01-26,0.0,0.0,0.0,0.0,,,,,,,,,,,,682.45,12895.64,5.0,59.96,,12691
GRC,Europe,Greece,2022-10-27,4694816.0,0.0,33599.0,0.0,,,,,,21651759.0,7929966.0,7640228.0,6659591.0,14622.0,11.11,83.48,24574.38,4.21,82.24,0.89,10384972
PAK,Asia,Pakistan,2023-02-07,1576361.0,0.0,30640.0,0.0,,,,,,,,,,,,255.57,5034.71,0.6,67.27,0.56,235824864
ALB,Europe,Albania,2022-09-27,330762.0,0.0,3589.0,0.0,,,,,,,,,,,11.11,104.87,11803.43,2.89,78.57,0.8,2842318
GTM,North America,Guatemala,2023-09-25,1250303.0,0.0,20201.0,0.0,,,,,,,,,,,,157.83,7423.81,0.6,74.3,0.66,17843914
ZAF,Africa,South Africa,2021-11-07,2923751.0,1865.0,89319.0,156.0,18724313.0,24629.0,0.01,97.5,people tested,23151823.0,15779126.0,12810692.0,,55930.0,48.15,46.75,12294.88,2.32,64.13,0.71,59893884
CAF,Africa,Central African Republic,2021-05-13,10381.0,0.0,95.0,0.0,,,,,,,,,,,11.11,7.48,661.24,1.0,53.28,0.4,5579148
TGO,Africa,Togo,2024-07-05,39530.0,0.0,290.0,0.0,,,,,,,,,,,,143.37,1429.81,0.7,61.04,0.52,8848700
ABW,North America,Aruba,2020-06-09,101.0,0.0,3.0,0.0,,,,,,,,,,,53.7,584.8,35973.78,,76.29,,106459
GUM,Oceania,Guam,2022-01-04,15406.0,0.0,270.0,0.0,214884.0,340.0,0.19,5.4,tests performed,,,,,,,304.13,,,80.07,,171783
NOR,Europe,Norway,2023-12-20,1501341.0,0.0,5732.0,0.0,,,,,,,,,,,,14.46,64800.06,3.6,82.4,0.96,5434324
SEN,Africa,Senegal,2022-05-06,85997.0,0.0,1966.0,0.0,,,,,,,,,,,13.89,82.33,2470.58,,67.94,0.51,17316452
KGZ,Asia,Kyrgyzstan,2024-03-05,88953.0,0.0,1024.0,0.0,,,,,,,,,,,,32.33,3393.47,4.5,71.45,0.7,6630621
THA,Asia,Thailand,2022-01-02,2229558.0,19588.0,21720.0,140.0,17782453.0,27886.0,0.08,13.0,tests performed,105185081.0,51413767.0,46322320.0,7448994.0,14571.0,43.06,135.13,16277.67,2.1,77.15,0.78,71697024
ERI,Africa,Eritrea,2023-06-12,10189.0,0.0,103.0,0.0,,,,,,,,,,,,44.3,1510.46,0.7,66.32,0.46,3684041
MAF,North America,Saint Martin (French part),2024-05-23,12324.0,0.0,46.0,0.0,,,,,,,,,,,,590.53,,,82.08,,31816
HUN,Europe,Hungary,2024-07-16,2230548.0,0.0,49051.0,0.0,,,,,,,,,,,,108.04,26777.56,7.02,76.88,0.85,9967304
NOR,Europe,Norway,2022-01-05,400354.0,0.0,1394.0,0.0,9363390.0,26553.0,0.26,3.8,people tested,9994156.0,4296356.0,3939036.0,1758764.0,101376.0,51.85,14.46,64800.06,3.6,82.4,0.96,5434324
YEM,Asia,Yemen,2022-08-26,11915.0,0.0,2153.0,0.0,,,,,,,,,,,0.0,53.51,1479.15,0.7,66.12,0.47,33696612
PRY,South America,Paraguay,2024-05-03,735759.0,0.0,19880.0,0.0,,,,,,,,,,,,17.14,8827.01,1.3,74.25,0.73,6780745
THA,Asia,Thailand,2020-01-17,0.0,0.0,0.0,0.0,97.0,5.0,,,tests performed,,,,,,0.0,135.13,16277.67,2.1,77.15,0.78,71697024
MAR,Africa,Morocco,2024-03-09,1279044.0,0.0,16303.0,0.0,,,,,,,,,,,,80.08,7485.01,1.1,76.68,0.69,37457976
MNG,Asia,Mongolia,2022-06-23,928586.0,0.0,2116.0,0.0,,,,,,,,,,,11.11,1.98,11840.85,7.0,69.87,0.74,3398373
IDN,Asia,Indonesia,2021-03-07,1379662.0,45028.0,37266.0,1100.0,,,,,,4022544.0,2888757.0,1133787.0,,,71.76,145.72,11188.74,1.04,71.72,0.72,275501344
AIA,North America,Anguilla,2021-08-08,114.0,0.0,0.0,0.0,,,0.0,,tests performed,,,,,,,,,,81.88,,15877
TON,Oceania,Tonga,2020-05-30,0.0,0.0,0.0,0.0,,,,,,,,,,,47.22,150.03,5425.62,2.6,70.91,0.72,106867
SVN,Europe,Slovenia,2024-08-01,1356434.0,0.0,10079.0,0.0,,,,,,,,,,,,102.62,31400.84,4.5,81.32,0.92,2119843
KOR,Asia,South Korea,2020-10-12,24606.0,0.0,432.0,0.0,2414258.0,5127.0,0.01,111.7,people tested,,,,,,56.94,527.97,35938.37,12.27,83.03,0.92,51815808
AFG,Asia,Afghanistan,2022-11-10,203618.0,0.0,7826.0,0.0,,,,,,,,,,,2.78,54.42,1803.99,0.5,64.83,0.51,41128772
TTO,North America,Trinidad and Tobago,2023-05-27,191496.0,0.0,4390.0,0.0,,,,,,,,,,,,266.89,28763.07,3.0,73.51,0.8,1531043
SRB,Europe,Serbia,2024-04-05,2583470.0,0.0,18057.0,0.0,,,,,,,,,,,,80.29,14048.88,5.61,76.0,0.81,6871547
EGY,Africa,Egypt,2021-06-22,276756.0,0.0,15829.0,0.0,,,,,,,,,,,40.74,98.0,10550.21,1.6,71.99,0.71,110990096
GHA,Africa,Ghana,2021-05-26,93711.0,0.0,783.0,0.0,1164383.0,,0.01,80.2,tests performed,,,,,,42.59,126.72,4227.63,0.9,64.07,0.61,33475870
GEO,Asia,Georgia,2024-05-13,1862994.0,0.0,17150.0,0.0,,,,,,,,,,,,65.03,9745.08,2.6,73.77,0.81,3744385
PAN,North America,Panama,2023-06-14,1039412.0,0.0,8632.0,0.0,,,,,,,,,,,,55.13,22267.04,2.3,78.51,0.82,4408582
