location,iso_code,continent,date,total_cases,new_cases,total_deaths,new_deaths,new_cases_per_million,new_cases_smoothed_per_million,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,gdp_per_capita,extreme_poverty,hospital_beds_per_thousand,life_expectancy,human_development_index,population
Uzbekistan,UZB,Asia,2024-08-04,175081.0,0.0,1016.0,0.0,0.0,0.0,,,,,,,83937954.0,22094470.0,18451781.0,16413048.0,145313.0,5.56,76.13,6253.1,,4.0,71.72,0.72,34627648
Vanuatu,VUT,Oceania,2024-08-04,12019.0,0.0,14.0,0.0,0.0,0.0,11989.0,,76.0,0.01,76.0,people tested,366638.0,176624.0,162250.0,27697.0,,11.11,22.66,2921.91,13.2,,70.47,0.61,326744
Vatican,VAT,Europe,2024-08-04,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,75.12,,808
Venezuela,VEN,South America,2024-08-04,552695.0,0.0,5856.0,0.0,0.0,0.0,,,,,,,37860994.0,22157232.0,14966671.0,651502.0,,13.89,36.25,16745.02,,0.8,72.06,0.71,28301700
Vietnam,VNM,Asia,2024-08-04,11624000.0,0.0,43206.0,0.0,0.0,0.0,85824349.0,56715.0,620.0,0.95,1.1,people tested,266492149.0,90497674.0,85961564.0,57975220.0,66330.0,23.15,308.13,6171.88,2.0,2.6,75.4,0.7,98186856
Wales,OWID_WLS,Europe,2023-07-12,,,,,,,,,,,,,8932482.0,2592226.0,2477109.0,4064651.0,3169.0,,,,,,,,3170000
Wallis and Futuna,WLF,Oceania,2024-08-04,3760.0,0.0,9.0,0.0,0.0,0.0,,,,,,,18058.0,7150.0,6803.0,3766.0,,,,,,,79.94,,11596
Western Sahara,ESH,Africa,2022-04-20,,,,,,,3943.0,,,,,tests performed,,,,,,,,,,,70.26,,576005
Yemen,YEM,Asia,2024-08-04,11945.0,0.0,2159.0,0.0,0.0,0.0,336937.0,,84.0,0.0,587.4,tests performed,1298654.0,1050202.0,807057.0,68925.0,,5.56,53.51,1479.15,18.8,0.7,66.12,0.47,33696612
Zambia,ZMB,Africa,2024-08-04,349842.0,18.0,4077.0,0.0,0.89,0.13,3514038.0,2352.0,2122.0,0.06,17.2,tests performed,13454213.0,11711565.0,9213802.0,33684.0,65503.0,13.89,23.0,3689.25,57.5,2.0,63.89,0.58,20017670
Zimbabwe,ZWE,Africa,2024-08-04,266386.0,0.0,5740.0,0.0,0.0,0.0,2379907.0,3537.0,2246.0,0.04,23.7,tests performed,12222754.0,6437808.0,4751270.0,1033676.0,1978.0,53.7,42.73,1899.78,21.4,1.7,61.49,0.57,16320539
